,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,James Harden,HOU,30,68,43,25,36.5,34.3,            9.9,            22.3,44.4,            4.4,            12.4,35.5,10.2,11.8,86.5,            1.0,            5.5,            6.6,            7.5,            4.5,            1.8,            0.9,            3.3,            57.1          ,22,4,4.2
1,2,Bradley Beal,WAS,27,57,20,37,36.0,30.5,            10.4,            22.9,45.5,            3.0,            8.4,35.3,6.8,8.0,84.2,            0.9,            3.3,            4.2,            6.1,            3.4,            1.2,            0.4,            2.2,            46.3          ,8,0,-3.5
2,3,Damian Lillard,POR,29,66,33,33,37.5,30.0,            9.5,            20.4,46.3,            4.1,            10.2,40.1,7.0,7.8,88.8,            0.5,            3.8,            4.3,            8.0,            2.9,            1.1,            0.3,            1.7,            48.4          ,19,1,1.3
3,4,Trae Young,ATL,21,60,18,42,35.3,29.6,            9.1,            20.8,43.7,            3.4,            9.5,36.1,8.0,9.3,86.0,            0.5,            3.7,            4.3,            9.3,            4.8,            1.1,            0.1,            1.7,            47.6          ,28,2,-3.8
4,5,Giannis Antetokounmpo,MIL,25,63,51,12,30.4,29.5,            10.9,            19.7,55.3,            1.4,            4.7,30.4,6.3,10.0,63.3,            2.2,            11.4,            13.6,            5.6,            3.7,            1.0,            1.0,            3.1,            56.6          ,56,4,10.8
5,6,Luka Doncic,DAL,21,61,36,25,33.6,28.8,            9.5,            20.6,46.3,            2.8,            8.9,31.6,7.0,9.2,75.8,            1.3,            8.1,            9.4,            8.8,            4.3,            1.0,            0.2,            2.5,            52.8          ,39,17,4.1
6,7,Kyrie Irving,BKN,28,20,8,12,32.9,27.4,            10.0,            20.8,47.8,            2.8,            7.1,39.4,4.7,5.1,92.2,            1.1,            4.1,            5.2,            6.4,            2.6,            1.4,            0.5,            2.7,            46.1          ,3,1,-0.4
7,8,Russell Westbrook,HOU,31,57,36,21,36.0,27.2,            10.6,            22.5,47.2,            1.0,            3.7,25.8,5.1,6.7,76.3,            1.8,            6.2,            7.9,            7.0,            4.5,            1.6,            0.4,            3.5,            48.8          ,22,8,2.2
8,9,Kawhi Leonard,LAC,29,57,41,16,32.4,27.1,            9.3,            19.9,47.0,            2.2,            5.7,37.8,6.2,7.1,88.6,            0.9,            6.1,            7.1,            4.9,            2.6,            1.8,            0.6,            2.0,            47.4          ,13,1,8.4
9,10,Devin Booker,PHX,23,70,34,36,35.9,26.6,            9.0,            18.3,48.9,            2.0,            5.7,35.4,6.7,7.3,91.9,            0.4,            3.8,            4.2,            6.5,            3.8,            0.7,            0.3,            3.0,            40.6          ,11,0,1.9
10,11,Karl-Anthony Towns,MIN,24,35,10,25,33.9,26.5,            9.0,            17.8,50.8,            3.3,            7.9,41.2,5.1,6.5,79.6,            2.7,            8.1,            10.8,            4.4,            3.1,            0.9,            1.2,            3.3,            49.3          ,24,0,-0.4
11,12,Anthony Davis,LAL,27,62,46,16,34.4,26.1,            8.9,            17.7,50.3,            1.2,            3.5,33.0,7.2,8.5,84.6,            2.3,            7.0,            9.3,            3.2,            2.5,            1.5,            2.3,            2.5,            50.9          ,29,0,3.9
12,13,Zach LaVine,CHI,25,60,20,40,34.8,25.5,            9.0,            20.0,45.0,            3.1,            8.1,38.0,4.5,5.6,80.2,            0.7,            4.1,            4.8,            4.2,            3.4,            1.5,            0.5,            2.2,            40.0          ,2,0,-3.2
13,14,LeBron James,LAL,35,67,50,17,34.6,25.3,            9.6,            19.4,49.3,            2.2,            6.3,34.8,3.9,5.7,69.3,            1.0,            6.9,            7.8,            10.2,            3.9,            1.2,            0.5,            1.8,            51.3          ,46,13,6.6
14,15,Donovan Mitchell,UTA,23,69,43,26,34.3,24.0,            8.7,            19.4,44.9,            2.5,            6.9,36.6,4.0,4.7,86.3,            0.8,            3.6,            4.4,            4.3,            2.7,            1.0,            0.2,            2.5,            36.6          ,1,0,1.6
15,16,Brandon Ingram,NOP,22,62,25,37,33.9,23.8,            8.2,            17.7,46.3,            2.4,            6.2,39.1,5.0,5.9,85.1,            0.8,            5.3,            6.1,            4.2,            3.0,            1.0,            0.6,            2.9,            39.2          ,9,0,-0.7
16,17,Jayson Tatum,BOS,22,66,46,20,34.3,23.4,            8.4,            18.6,45.0,            2.9,            7.1,40.3,3.8,4.7,81.2,            1.0,            6.0,            7.0,            3.0,            2.3,            1.4,            0.9,            2.1,            40.8          ,10,0,7.6
17,18,D'Angelo Russell,MIN,24,45,11,34,32.3,23.1,            8.0,            18.8,42.6,            3.5,            9.6,36.7,3.6,4.4,80.9,            0.4,            3.6,            3.9,            6.3,            3.3,            1.1,            0.3,            1.9,            38.1          ,3,0,-5.6
18,19,Joel Embiid,PHI,26,51,32,19,29.5,23.0,            7.5,            15.7,47.7,            1.1,            3.4,33.1,6.9,8.5,80.7,            2.8,            8.9,            11.6,            3.0,            3.1,            0.9,            1.3,            3.4,            44.8          ,37,0,3.2
19,20,Pascal Siakam,TOR,26,60,46,14,35.2,22.9,            8.3,            18.4,45.3,            2.2,            6.1,35.9,4.0,5.1,79.2,            1.1,            6.3,            7.3,            3.5,            2.5,            1.0,            0.9,            2.8,            40.0          ,12,0,6.6
20,21,Zion Williamson,NOP,19,24,11,13,27.8,22.5,            8.8,            15.0,58.3,            0.3,            0.6,42.9,4.8,7.4,64.0,            2.7,            3.6,            6.3,            2.1,            2.5,            0.7,            0.4,            1.8,            33.8          ,2,0,2.6
21,22,CJ McCollum,POR,28,70,34,36,36.5,22.2,            8.7,            19.4,45.1,            2.8,            7.3,37.9,2.0,2.6,75.7,            0.7,            3.6,            4.2,            4.4,            1.8,            0.8,            0.6,            2.6,            36.3          ,4,0,0.2
22,23,DeMar DeRozan,SAS,30,68,31,37,34.1,22.1,            8.2,            15.4,53.1,            0.1,            0.5,25.7,5.6,6.6,84.5,            0.6,            4.9,            5.5,            5.6,            2.4,            1.0,            0.3,            2.6,            38.7          ,7,0,-1.7
23,24,Andrew Wiggins,GSW,25,54,15,39,34.4,21.8,            8.1,            18.1,44.7,            2.1,            6.2,33.2,3.5,5.0,70.9,            1.2,            3.9,            5.1,            3.7,            2.4,            0.8,            1.0,            2.4,            36.3          ,4,1,-3.7
24,25,John Collins,ATL,22,41,15,26,33.2,21.6,            8.6,            14.8,58.3,            1.4,            3.6,40.1,2.9,3.7,80.0,            2.8,            7.3,            10.1,            1.5,            1.8,            0.8,            1.6,            3.4,            41.2          ,22,0,-4.0
25,26,Paul George,LAC,30,48,34,14,29.6,21.5,            7.1,            16.3,43.9,            3.3,            7.9,41.2,4.0,4.5,87.6,            0.5,            5.2,            5.7,            3.9,            2.6,            1.4,            0.4,            2.4,            37.0          ,5,0,5.4
26,27,De'Aaron Fox,SAC,22,51,20,31,32.0,21.1,            7.7,            16.0,48.0,            1.1,            3.6,29.2,4.7,6.7,70.5,            0.7,            3.2,            3.8,            6.8,            3.1,            1.5,            0.5,            2.8,            38.7          ,9,0,-2.4
27,28,Khris Middleton,MIL,28,62,46,16,29.9,20.9,            7.6,            15.3,49.7,            2.4,            5.7,41.5,3.4,3.7,91.6,            0.7,            5.5,            6.2,            4.3,            2.2,            0.9,            0.1,            2.3,            35.4          ,7,0,8.1
28,29,Stephen Curry,GSW,32,5,1,4,27.9,20.8,            6.6,            16.4,40.2,            2.4,            9.8,24.5,5.2,5.2,100,            0.8,            4.4,            5.2,            6.6,            3.2,            1.0,            0.4,            2.2,            37.9          ,1,0,-9.0
29,30,Collin Sexton,CLE,21,65,19,46,33.0,20.8,            7.9,            16.7,47.2,            1.5,            3.9,38.0,3.5,4.1,84.6,            0.9,            2.2,            3.1,            3.0,            2.4,            1.0,            0.1,            2.2,            29.8          ,0,0,-6.1
30,31,Spencer Dinwiddie,BKN,27,64,30,34,31.2,20.6,            6.6,            16.0,41.5,            1.9,            6.3,30.8,5.4,7.0,77.8,            0.5,            3.0,            3.5,            6.8,            2.7,            0.6,            0.3,            2.8,            35.0          ,9,0,0.8
31,32,Kemba Walker,BOS,30,56,37,19,31.1,20.4,            6.8,            15.9,42.5,            3.2,            8.4,38.1,3.7,4.3,86.4,            0.6,            3.2,            3.9,            4.8,            2.1,            0.9,            0.5,            1.6,            34.3          ,2,0,4.4
32,33,Kristaps Porzingis,DAL,24,57,32,25,31.8,20.4,            7.0,            16.4,42.7,            2.5,            7.1,35.2,4.0,5.0,79.9,            1.8,            7.7,            9.5,            1.8,            1.6,            0.7,            2.0,            3.2,            41.1          ,25,0,4.7
